year,institute_type,pool,opening_rank,closing_rank,institute_short,program_name,program_duration,degree_short,category
2018,IIT,Male,319,322,IIT-Delhi,Information Technology,4,B.Tech,ST
2018,IIT,Male,6,6,IIT-Delhi,Information Technology,4,B.Tech,GEN
2018,IIT,Male,51,51,IIT-Delhi,Information Technology,4,B.Tech,OBC-NCL
2018,IIT,Male,247,907,IIT-Delhi,Mechanical Engineering,4,B.Tech,GEN
2018,IIT,Male,255,434,IIT-Delhi,Mechanical Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,20,178,IIT-Delhi,Mechanical Engineering,4,B.Tech,SC
2018,IIT,Male,51,107,IIT-Delhi,Mechanical Engineering,4,B.Tech,ST
2018,IIT,Male,26,26,IIT-Delhi,Mechanical Engineering,4,B.Tech,GEN
2018,IIT,Male,1036,2526,IIT-Delhi,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,837,1570,IIT-Delhi,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,577,906,IIT-Delhi,Computer Science and Engineering,4,B.Tech,SC
2018,IIT,Male,257,472,IIT-Delhi,Computer Science and Engineering,4,B.Tech,ST
2018,IIT,Male,174,174,IIT-Delhi,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,2826,5431,IIT-Delhi,Information Technology,4,B.Tech,GEN
2018,IIT,Male,1776,2959,IIT-Delhi,Information Technology,4,B.Tech,OBC-NCL
2018,IIT,Male,1105,1719,IIT-Delhi,Information Technology,4,B.Tech,SC
2018,IIT,Male,647,1004,IIT-Delhi,Information Technology,4,B.Tech,ST
2018,IIT,Male,102,102,IIT-Delhi,Information Technology,4,B.Tech,GEN
2018,IIT,Male,2864,3497,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,2938,4033,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,1223,1508,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,1618,1718,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,725,865,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,SC
2018,IIT,Male,779,857,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,SC
2018,IIT,Male,391,415,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,ST
2018,IIT,Male,430,430,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,ST
2018,IIT,Male,16,16,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,4321,6312,IIT-Kharagpur,Information Technology,4,B.Tech,GEN
2018,IIT,Male,2652,3091,IIT-Kharagpur,Information Technology,4,B.Tech,OBC-NCL
2018,IIT,Male,1381,1845,IIT-Kharagpur,Information Technology,4,B.Tech,SC
2018,IIT,Male,590,804,IIT-Kharagpur,Information Technology,4,B.Tech,ST
2018,IIT,Male,6306,7455,IIT-Kharagpur,Civil Engineering,4,B.Tech,GEN
2018,IIT,Male,2669,3282,IIT-Kharagpur,Civil Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,1728,2065,IIT-Kharagpur,Civil Engineering,4,B.Tech,SC
2018,IIT,Male,119,1125,IIT-Kharagpur,Civil Engineering,4,B.Tech,ST
2018,IIT,Male,151,151,IIT-Kharagpur,Civil Engineering,4,B.Tech,GEN
